"id","name","created_at","updated_at","numbering_order","shorten"
1,"Ainejärjestöjen vaalirengas","2018-11-02 11:41:49.703845","2018-11-02 11:41:49.703845",10,"HYAL"
2,"Osakuntien suuri vaalirengas","2018-11-02 11:41:49.706286","2018-11-02 11:41:49.706286",9,"Osak"
3,"Maailmanpyörä","2018-11-02 11:41:49.708013","2018-11-02 11:41:49.708013",8,"MP"
4,"HELP","2018-11-02 11:41:49.709655","2018-11-02 11:41:49.709655",6,"HELP"
5,"Pelastusrengas","2018-11-02 11:41:49.711639","2018-11-02 11:41:49.711639",4,"Pelast"
6,"Svenska Nationer och Ämnesföreningar (SNÄf)","2018-11-02 11:41:49.714021","2018-11-02 11:41:49.714021",5,"SNÄf"
7,"Opiskelijademarit","2018-11-02 11:41:49.716252","2018-11-02 11:41:49.716252",3,"OSY"
8,"Tsemppi Group","2018-11-02 11:41:49.723009","2018-11-02 11:41:49.723009",2,"Tsempp"
9,"Akateemiset piraatit","2018-11-02 11:41:49.725024","2018-11-02 11:41:49.725024",1,"Pirate"
10,"Perussuomalainen vaaliliitto","2018-11-02 11:41:49.726973","2018-11-02 11:41:49.726973",7,"Peruss"
11,"Liberaalinen vaaliliitto - Yksilönvapauden puolesta","2018-11-02 11:41:49.728854","2018-11-02 11:41:49.728854",5,"Libera"
12,"Itsenäinen ehdokas 1","2018-11-02 11:41:49.730608","2018-11-02 11:41:49.730608",11,"ITE1"
